Round,Pick,Player,Position,Team,League Member,Comments,,,,,,,,,,,,,,,
15,148,Tua Tagovailoa,QB,MIA,Scott,"""We had a deal, Kyle!""Joe ",,,,,,,,,,,,,,,
15,149,Braelon Allen,RB,NYJ,Greg,"""This is the most important pick of the draft"" Greg……""Alright Greg lets go"" [clap;clap] Kyle ""Alrigjt….we're going…uh I don't know…"" Greg",,,,,,,,,,,,,,,
15,150,Dalvin Cook,RB,DAL,Josh,"""I think I may end up keeping Jordan Love and Caleb Williams next year"" Kyle; [Stefan throwing out fireballs, everyone catches except Colin. Misses again (questionable throw)]; ""I was fucking spinning. I couldn’t make a deciison with that Zyn"" Greg ""That was the longest you took all draft"" Elbe; ",,,,,,,,,,,,,,,
16,151,Khalil Herbert,RB,CHI,Stefan,,,,,,,,,,,,,,,,
16,152,Dallas Cowboys DEF,DEF,DAL,Greg,"""Cowboys DEF. Two defenses! I'm going to drop them after week 1 or trade them to one of yo asses"" Greg",,,,,,,,,,,,,,,
16,153,Buffalo Bills DEF,DEF,BUF,Scott,"""After that decision, I feel great."" Greg",,,,,,,,,,,,,,,
16,154,Matthew Stafford,QB,LAR,Joe,"""Give me league winning QB big dick Matthew Stafford"" Joe ""Isn't he hurt?"" Stefan ""Oh fuck, is he?"" Joe",,,,,,,,,,,,,,,
16,155,Pittsburgh Steelers DEF,DEF,PIT,Witte,,,,,,,,,,,,,,,,
16,156,Demario Douglas,WR,NE,Elbe,,,,,,,,,,,,,,,,
16,157,Cincinnati Bengals DEF,DEF,CIN,Kyle,,,,,,,,,,,,,,,,
16,158,Brock Purdy,QB,SF,Colin,"""Do you have a backup QB? One signal caller or two?"" Kyle to Colin",,,,,,,,,,,,,,,
16,159,Kansas City Chiefs DEF,DEF,KC,Colin,"""Which one do you want first?"" Stefan ""Greg, you have two defenses right now"" Stefan",,,,,,,,,,,,,,,
16,160,Trevor Lawrence,QB,JAX,Zach,Draft ends at 10:27 pm,,,,,,,,,,,,,,,
